Camera URL,Quadrant,Camera Location,Point,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017,Ward Boundaries
Camera 58 (http://trafficcam.calgary.ca/loc57.jpg),NW,Memorial Drive / 14 Street NW,POINT (-114.0931995 51.049639),2,40,7,7
Camera 146 (http://trafficcam.calgary.ca/loc145.jpg),SW,Bow Trail & Old Banff Coach Rd SW / Strathcona Blvd SW,POINT (-114.1816828 51.0522689),1,189,14,1
Camera 55 (http://trafficcam.calgary.ca/loc54.jpg),SW,Bow Trail / 14 Street SW,POINT (-114.094804 51.0470663),1,136,2,14
Camera 124 (http://trafficcam.calgary.ca/loc123.jpg),SW,33 Avenue / Crowchild Trail SW,POINT (-114.1173688 51.0240736),1,181,2,14
Camera 99 (http://trafficcam.calgary.ca/loc98.jpg),SE,Glenmore Trail / Barlow Trail SE,POINT (-113.9814947 50.9794455),3,105,8,10
Camera 117 (http://trafficcam.calgary.ca/loc116.jpg),SE,162 Avenue / Shawville Blvd SE,POINT (-114.0659867 50.9043314),3,115,6,5
Camera 120 (http://trafficcam.calgary.ca/loc119.jpg),NW,16 Avenue / Sarcee Trail  NW,POINT (-114.1891603 51.0808525),2,149,9,13
Camera 40 (http://trafficcam.calgary.ca/loc39.jpg),NW,16 Avenue / 14 Street NW,POINT (-114.0939902 51.0669765),2,63,7,7
Camera 53 (http://trafficcam.calgary.ca/loc52.jpg),SE,Glenmore Trail / Deerfoot Trail SE,POINT (-114.035226 50.9942156),3,109,11,10
Camera 97 (http://trafficcam.calgary.ca/loc96.jpg),NW/NE,McKnight Blvd / Centre St N,POINT (-114.0623634 51.0959746),4,241,4,2
Camera 4 (http://trafficcam.calgary.ca/loc3.jpg),NE,Memorial Drive / 52 Street E,POINT (-113.9558182 51.053253),3,194,11,12
Camera 143 (http://trafficcam.calgary.ca/loc142.jpg),SW,Bow Trail / 37 Street SW,POINT (-114.1413616 51.0453097),1,118,2,14
Camera 6 (http://trafficcam.calgary.ca/loc5.jpg),SW,4 Avenue / 9 Street SW,POINT (-114.0835215 51.0499601),1,45,2,14
Camera 88 (http://trafficcam.calgary.ca/loc87.jpg),SE,Heritage Drive / Blackfoot Trail SE,POINT (-114.0504938 50.9809179),3,284,11,10
Camera 98 (http://trafficcam.calgary.ca/loc97.jpg),NW,John Laurie Blvd / 14 Street NW,POINT (-114.0947697 51.0897177),2,8,4,2
Camera 133 (http://trafficcam.calgary.ca/loc132.jpg),NE,Stoney Trail / Metis Trail NE,POINT (-113.969186 51.1751401),4,3,1,11
Camera 138 (http://trafficcam.calgary.ca/loc137.jpg),SE,Stoney Trail / Peigan Trail SE,POINT (-113.9216323 51.0156205),3,209,11,12
Camera 42 (http://trafficcam.calgary.ca/loc41.jpg),SE,Memorial Drive / 36 Street SE,POINT (-113.9815651 51.0521087),3,194,11,12
Camera 122 (http://trafficcam.calgary.ca/loc121.jpg),SE,Riverfront Avenue / 1 Street SE,POINT (-114.0600141 51.0511313),3,21,7,7
Camera 45 (http://trafficcam.calgary.ca/loc44.jpg),SW/SE,194 Avenue / Macleod Trail S,POINT (-114.0440631 50.8756442),3,133,6,6
Camera 103 (http://trafficcam.calgary.ca/loc102.jpg),NE,Memorial Drive / 12 Street NE,POINT (-114.0323668 51.0482461),4,137,11,10
Camera 111 (http://trafficcam.calgary.ca/loc110.jpg),SE,Glenmore Trail / 18 Street SE,POINT (-114.0157036 50.9790353),3,19,8,10
Camera 147 (https://trafficcam.calgary.ca/loc146.jpg),NE,Airport Trail / Metis Trail NE,POINT (-113.9704835 51.1401466),4,107,1,11
Camera 54 (http://trafficcam.calgary.ca/loc53.jpg),SW,Bow Trail / Pumphouse Road SW,POINT (-114.1036354 51.0470427),1,136,2,14
Camera 13 (http://trafficcam.calgary.ca/loc12.jpg),NE,McKnight Blvd / 52 Street NE,POINT (-113.9582103 51.0958837),4,22,3,9
Camera 24 (http://trafficcam.calgary.ca/loc23.jpg),SW,Southland Drive / 14 Street SW,POINT (-114.0953543 50.9615719),1,127,5,8
Camera 152 (https://trafficcam.calgary.ca/loc151.jpg),NE,32 Avenue / Barlow Trail NE,POINT (-114.0014122 51.0816218),4,71,3,9
Camera 72 (http://trafficcam.calgary.ca/loc71.jpg),SE,Southland Drive / Blackfoot Trail SE,POINT (-114.0387603 50.9658416),3,174,5,10
Camera 57 (http://trafficcam.calgary.ca/loc56.jpg),SW,Bow Trail / 6 Avenue SW,POINT (-114.0913813 51.047493),1,45,2,14
Camera 61 (http://trafficcam.calgary.ca/loc60.jpg),SE,Glenmore Trail / Blackfoot Trail SE,POINT (-114.0525544 50.9939134),3,76,11,10
Camera 7 (http://trafficcam.calgary.ca/loc6.jpg),SW,Glenmore Trail / Elbow Drive SW (East),POINT (-114.0842358 50.9939161),1,29,5,8
Camera 8 (http://trafficcam.calgary.ca/loc7.jpg),SE,Stoney Trail / 52 Street SE,POINT (-113.9537466 50.9040183),3,46,8,4
Camera 14 (http://trafficcam.calgary.ca/loc13.jpg),SW,8 Avenue / 11 Street SW,POINT (-114.0886408 51.046258),1,45,2,14
Camera 156 (http://trafficcam.calgary.ca/loc155.jpg),NW,Anderson Rd / Acadia Dr SE,POINT (-114.0417885 50.9480431),3,267,13,6
Camera 32 (http://trafficcam.calgary.ca/loc31.jpg),SW/SE,42 Avenue / Macleod Trail S,POINT (-114.0643126 51.0159099),1,124,11,10
Camera 75 (http://trafficcam.calgary.ca/loc74.jpg),NW,16 Avenue / 10 Street NW,POINT (-114.0849216 51.0668068),2,40,7,7
Camera 145 (http://trafficcam.calgary.ca/loc144.jpg),SE,Glenmore Trail / 68 Street SE,POINT (-113.9346103 50.9794625),3,104,8,10
Camera 80 (http://trafficcam.calgary.ca/loc79.jpg),SE,47 Avenue / Deerfoot Trail SE,POINT (-114.0084668 51.0109282),3,240,11,10
Camera 100 (http://trafficcam.calgary.ca/loc99.jpg),SW/SE,Anderson Road / Macleod Trail S,POINT (-114.0707168 50.9505793),3,89,5,6
Camera 125 (http://trafficcam.calgary.ca/loc124.jpg),SW,Bow Trail / Crowchild Trail SW,POINT (-114.1127754 51.043601),1,206,2,14
Camera 109 (http://trafficcam.calgary.ca/loc108.jpg),SE,114 Avenue / Barlow Trail SE,POINT (-113.981644 50.9505254),3,162,8,4
Camera 62 (http://trafficcam.calgary.ca/loc61.jpg),SW,Bow Trail / 33 Street SW,POINT (-114.1355522 51.0413844),1,281,2,14
Camera 34 (http://trafficcam.calgary.ca/loc33.jpg),SE,4 Avenue / Macleod Trail S,POINT (-114.057837 51.0491958),3,65,7,7
Camera 59 (http://trafficcam.calgary.ca/loc58.jpg),NW,Memorial Drive / 10A Street NW,POINT (-114.0905363 51.050951),2,40,7,7
Camera 130 (http://trafficcam.calgary.ca/loc129.jpg),SW,9 Avenue / 5 Street SW,POINT (-114.0738336 51.0448849),1,262,2,14
Camera 141 (http://trafficcam.calgary.ca/loc140.jpg),SW,17 Avenue / 69 Street SW,POINT (-114.1873508 51.0380985),1,68,14,1
Camera 102 (http://trafficcam.calgary.ca/loc101.jpg),SE,Macleod Trail S / 162 Avenue SE (West intersection),POINT (-114.0637026 50.9045746),3,115,6,5
Camera 1 (http://trafficcam.calgary.ca/loc0.jpg),SW/SE,Glenmore Trail / Macleod Trail S,POINT (-114.0715855 50.993989),1,120,5,8
Camera 77 (http://trafficcam.calgary.ca/loc76.jpg),SW,12 Avenue / 5 Street SW,POINT (-114.0741758 51.0417567),1,260,2,14
Camera 107 (http://trafficcam.calgary.ca/loc106.jpg),NE,32 Avenue / 36 Street NE,POINT (-113.9823261 51.0815499),4,71,3,9
Camera 84 (http://trafficcam.calgary.ca/loc83.jpg),NE,16 Avenue / Stoney Trail NE,POINT (-113.9204069 51.0676856),4,232,3,9
Camera 118 (http://trafficcam.calgary.ca/loc117.jpg),SE,Blackfoot Trail / 19 Street SE,POINT (-114.0179088 51.037649),3,54,11,10
Camera 153 (https://trafficcam.calgary.ca/loc152.jpg),NW,Kensington Rd / 14 St NW,POINT (-114.0945466 51.0524335),2,40,7,7
Camera 50 (http://trafficcam.calgary.ca/loc49.jpg),NE,32 Avenue / Deerfoot Trail NE,POINT (-114.035269 51.0816137),4,239,4,2
Camera 148 (https://trafficcam.calgary.ca/loc147.jpg),NE,Country Hills Blvd / Metis Trail NE,POINT (-113.9696467 51.1543276),4,12,1,11
Camera 3 (http://trafficcam.calgary.ca/loc2.jpg),SE,50 Avenue / Barlow Trail SE,POINT (-114.0018449 51.0086234),3,102,11,10
Camera 70 (http://trafficcam.calgary.ca/loc69.jpg),SE,Southland Drive / Deerfoot Trail SE,POINT (-114.0315769 50.9679604),3,93,5,6
Camera 49 (http://trafficcam.calgary.ca/loc48.jpg),SW/SE,Southland Drive / Macleod Trail S,POINT (-114.0713525 50.9651413),3,174,5,10
Camera 96 (http://trafficcam.calgary.ca/loc95.jpg),SE,5 Avenue / 3 Street SE,POINT (-114.0554787 51.048176),3,262,7,7
Camera 48 (http://trafficcam.calgary.ca/loc47.jpg),NW,John Laurie Blvd / Shaganappi Trail NW,POINT (-114.1398453 51.1088433),2,50,4,7
Camera 26 (http://trafficcam.calgary.ca/loc25.jpg),SE,Stoney Trail / 88 Street SE,POINT (-113.9072768 50.906454),3,116,8,4
Camera 139 (http://trafficcam.calgary.ca/loc138.jpg),SW,17 Avenue / Sarcee Trail SW,POINT (-114.1659844 51.0393138),1,278,14,1
Camera 119 (http://trafficcam.calgary.ca/loc118.jpg),SW/SE,Canyon Meadows Dr / Macleod Trail SE,POINT (-114.0694188 50.9318705),1,283,6,5
Camera 23 (http://trafficcam.calgary.ca/loc22.jpg),NW,Crowchild Trail / Nosehill Drive NW,POINT (-114.2024515 51.1200649),2,147,9,13
Camera 134 (http://trafficcam.calgary.ca/loc133.jpg),NW,Stoney Trail / Nose Hill Drive NW,POINT (-114.2239989 51.1067302),2,148,9,13
Camera 69 (http://trafficcam.calgary.ca/loc68.jpg),NE,16 Avenue / 52 Street NE,POINT (-113.9584279 51.0667121),4,77,3,12
Camera 25 (http://trafficcam.calgary.ca/loc24.jpg),SW,Heritage Drive / 14 Street SW,POINT (-114.094847 50.9795297),1,238,5,8
Camera 63 (http://trafficcam.calgary.ca/loc62.jpg),SE,130 Avenue / 52 Street SE,POINT (-113.9582911 50.9314226),3,79,8,4
Camera 65 (http://trafficcam.calgary.ca/loc64.jpg),SE,Glenmore Trail / 52 Street SE,POINT (-113.9587798 50.9798024),3,159,11,10
Camera 127 (http://trafficcam.calgary.ca/loc126.jpg),NW,Crowchild Trail / Sarcee Trail NW,POINT (-114.1782042 51.1112551),2,245,10,3
Camera 101 (http://trafficcam.calgary.ca/loc100.jpg),NW,Stoney Trail / Beddington Trail NW,POINT (-114.1149257 51.1565751),2,25,12,3
Camera 22 (http://trafficcam.calgary.ca/loc21.jpg),SE,50 Avenue / 52 Street SE,POINT (-113.958422 51.0088802),3,209,11,12
Camera 15 (http://trafficcam.calgary.ca/loc14.jpg),SE,17 Avenue / 28 Street SE,POINT (-113.9930839 51.0377477),3,15,11,12
Camera 106 (http://trafficcam.calgary.ca/loc105.jpg),SE,Macleod Trail S / 162 Avenue SE (East intersection),POINT (-114.0606044 50.9052795),3,52,13,6
